kategori,nama_makanan,protein_g,karbohidrat_g,lemak_g,serat_g,gula_g,kalori
infant formula,"infant formula, liquid concentrate, made with tap water (similac advance)",1.4,6.9,3.6,0,6.9,65.5
infant formula,"infant formula, liquid concentrate, made with plain bottled water (similac advance)",1.4,6.9,3.6,0,6.9,65.5
infant formula,"infant formula, liquid concentrate, made with baby water (similac advance)",1.4,6.9,3.6,0,6.9,65.5
infant formula,"infant formula, powder, made with tap water (similac advance)",1.4,6.9,3.6,0,6.9,65.5
infant formula,"infant formula, powder, made with plain bottled water (similac advance)",1.4,6.9,3.6,0,6.9,65.5
infant formula,"infant formula, powder, made with baby water (similac advance)",1.4,6.9,3.6,0,6.9,65.5
infant formula,"infant formula, ns as to form (similac advance organic)",1.4,6.9,3.6,0,6.9,65.5
infant formula,"infant formula, ready-to-feed (similac advance organic)",1.4,6.9,3.6,0,6.9,65.5
infant formula,"infant formula, powder, made with water, nfs (similac advance organic)",1.4,6.9,3.6,0,6.9,65.5
infant formula,"infant formula, powder, made with tap water (similac advance organic)",1.4,6.9,3.6,0,6.9,65.5
infant formula,"infant formula, powder, made with plain bottled water (similac advance organic)",1.4,6.9,3.6,0,6.9,65.5
infant formula,"infant formula, powder, made with baby water (similac advance organic)",1.4,6.9,3.6,0,6.9,65.5
infant formula,"infant formula, ns as to form (similac sensitive)",1.4,7,3.5,0,7,65.3
infant formula,"infant formula, ready-to-feed (similac sensitive)",1.4,7,3.5,0,7,65.3
infant formula,"infant formula, liquid concentrate, made with water, nfs (similac sensitive)",1.4,7,3.5,0,7,65.3
infant formula,"infant formula, powder, made with water, nfs (similac sensitive)",1.4,7,3.5,0,7,65.3
infant formula,"infant formula, liquid concentrate, made with tap water (similac sensitive)",1.4,7,3.5,0,7,65.3
infant formula,"infant formula, liquid concentrate, made with plain bottled water (similac sensitive)",1.4,7,3.5,0,7,65.3
infant formula,"infant formula, liquid concentrate, made with baby water (similac sensitive)",1.4,7,3.5,0,7,65.3
infant formula,"infant formula, powder, made with tap water (similac sensitive)",1.4,7,3.5,0,7,65.3
infant formula,"infant formula, powder, made with plain bottled water (similac sensitive)",1.4,7,3.5,0,7,65.3
infant formula,"infant formula, powder, made with baby water (similac sensitive)",1.4,7,3.5,0,7,65.3
infant formula,"infant formula, ns as to form (similac for spit-up)",1.4,6.9,3.5,0,6.9,64.4
infant formula,"infant formula, ready-to-feed (similac for spit-up)",1.4,6.9,3.5,0,6.9,64.4
infant formula,"infant formula, powder, made with water, nfs (similac for spit-up)",1.4,6.9,3.5,0,6.9,64.4
infant formula,"infant formula, ns as to form (similac expert care neosure)",2,7.2,4,0,7.3,72.5
infant formula,"infant formula, ready-to-feed (similac expert care neosure)",2,7.2,4,0,7.3,72.5
infant formula,"infant formula, powder, made with water, nfs (similac expert care neosure)",2,7.2,4,0,7.3,72.5
infant formula,"infant formula, powder, made with tap water (similac expert care neosure)",2,7.2,4,0,7.3,72.5
infant formula,"infant formula, powder, made with plain bottled water (similac expert care neosure)",2,7.2,4,0,7.3,72.5
infant formula,"infant formula, powder, made with baby water (similac expert care neosure)",2,7.2,4,0,7.3,72.5
infant formula,"infant formula, ns as to form (similac go and grow)",2,6.7,3.6,0,6.7,66.9
infant formula,"infant formula, powder, made with water, nfs (similac go and grow)",2,6.7,3.6,0,6.7,66.9
infant formula,"infant formula, ns as to form (enfamil newborn)",1.4,7.4,3.5,0,7.4,66.4
infant formula,"infant formula, ready-to-feed (enfamil newborn)",1.4,7.4,3.5,0,7.4,66.4
infant formula,"infant formula, powder, made with water, nfs (enfamil newborn)",1.4,7.4,3.5,0,7.4,66.4
infant formula,"infant formula, powder, made with tap water (enfamil newborn)",1.4,7.4,3.5,0,7.4,66.4
infant formula,"infant formula, powder, made with plain bottled water (enfamil newborn)",1.4,7.4,3.5,0,7.4,66.4
infant formula,"infant formula, powder, made with baby water (enfamil newborn)",1.4,7.4,3.5,0,7.4,66.4
infant formula,"infant formula, ns as to form (enfamil infant)",1.4,7.4,3.5,0,7.4,66.5
infant formula,"infant formula, ready-to-feed (enfamil infant)",1.4,7.4,3.5,0,7.4,66.5
infant formula,"infant formula, liquid concentrate, made with water, nfs (enfamil infant)",1.4,7.4,3.5,0,7.4,66.5
infant formula,"infant formula, liquid concentrate, made with tap water (enfamil infant)",1.4,7.4,3.5,0,7.4,66.5
infant formula,"infant formula, liquid concentrate, made with plain bottled water (enfamil infant)",1.4,7.4,3.5,0,7.4,66.5
infant formula,"infant formula, liquid concentrate, made with baby water (enfamil infant)",1.4,7.4,3.5,0,7.4,66.5
infant formula,"infant formula, powder, made with water, nfs (enfamil infant)",1.4,7.4,3.5,0,7.4,66.5
infant formula,"infant formula, powder, made with tap water (enfamil infant)",1.4,7.4,3.5,0,7.4,66.5
infant formula,"infant formula, powder, made with plain bottled water (enfamil infant)",1.4,7.4,3.5,0,7.4,66.5
infant formula,"infant formula, powder, made with baby water (enfamil infant)",1.4,7.4,3.5,0,7.4,66.5
infant formula,"infant formula, ns as to form (enfamil a.r.)",1.6,7.4,3.2,0,7.2,65.3
infant formula,"infant formula, ready-to-feed (enfamil a.r.)",1.6,7.4,3.2,0,7.2,65.3
infant formula,"infant formula, powder, made with water, nfs (enfamil a.r.)",1.6,7.4,3.2,0,7.2,65.3
